나 홀로 집에,https://movie-phinf.pstatic.net/20111222_256/1324527530062tFbqt_JPEG/movie_image.jpg?type=m203_290_2,9.39,"['모험', '범죄', '가족', '코미디']","['케빈', '집', '가족', '혼자', '전화선', '프랑스', '비행기', '자신', '크리스마스', '엄마', '다락방', '연휴', '잠', '위해', '알']",크리스 콜럼버스,"['맥컬리 컬킨', '조 페시', '다니엘 스턴', '존 허드', '로버츠 브로좀']"
인생은 아름다워,https://movie-phinf.pstatic.net/20160321_156/14585243498978uRh9_JPEG/movie_image.jpg?type=m203_290_2,9.39,"['드라마', '코미디']","['인생', '영화', '작품', '감동', '사랑', '수', '조수', '관객', '가장', '용소', '장면', '가족', '점', '다시', '걸작']",로베르토 베니니,"['로베르토 베니니', '니콜레타 브라스키', '조르지오 깐따리니', '마리사 파레데스', '호르스트 부흐홀츠']"
라이언 일병 구하기,https://movie-phinf.pstatic.net/20111222_4/1324498435937yqCYm_JPEG/movie_image.jpg?type=m203_290_2,9.39,"['전쟁', '액션', '드라마']","['라이언', '밀러', '임무', '명의', '작전', '일병', '대원', '제임스', '완수', '위해', '중', '막내', '투입', '수', '대위']",스티븐 스필버그,"['톰 행크스', '에드워드 번즈', '톰 시즈모어', '제레미 데이비스', '빈 디젤']"
빽 투 더 퓨쳐,https://movie-phinf.pstatic.net/20150924_194/1443056454769VJKkL_JPEG/movie_image.jpg?type=m203_290_2,9.40,"['SF', '코미디']","['마티', '어머니', '아버지', '박사', '미래', '브라운', '파티', '간다', '사람', '록큰롤', '보이', '평소', '총', '스케이트보드', '밸리']",로버트 저메키스,"['마이클 J. 폭스', '크리스토퍼 로이드', '리 톰슨', '크리스핀 글로버', '토머스 F. 윌슨']"
매트릭스,https://movie-phinf.pstatic.net/20160907_158/1473230958410gjEYe_JPEG/movie_image.jpg?type=m203_290_2,9.39,"['SF', '액션']","['영화', '매트릭스', '개봉', '현실', '당시', '관객', '수', '시대', '인류', '세계', '액션', '장면', '대한', '등', '가상현실']",릴리 워쇼스키,"['키아누 리브스', '로렌스 피시번', '캐리 앤 모스', '휴고 위빙', '글로리아 포스터']"
포레스트 검프,https://movie-phinf.pstatic.net/20160901_187/1472711688297YP2jH_JPEG/movie_image.jpg?type=m203_290_2,9.39,"['드라마', '코미디']","['포레스트', '삶', '재능', '제니', '한번', '첫사랑', '인생', '수', '어머니', '괴롭힘', '맞이', '누구', '발견', '다시', '사회']",로버트 저메키스,"['톰 행크스', '로빈 라이트', '게리 시나이즈', '미켈티 윌리암슨', '샐리 필드']"
사운드 오브 뮤직,https://movie-phinf.pstatic.net/20161124_209/1479966118269WuVYF_JPEG/movie_image.jpg?type=m203_290_2,9.39,"['멜로/로맨스', '뮤지컬', '드라마']","['트랩', '폰', '마리아', '마음', '가의', '대령', '자신', '수녀', '문', '사랑', '아이', '음악', '원장', '가정교사', '간직']",로버트 와이즈,"['줄리 앤드류스', '크리스토퍼 플러머', '엘레노 파커', '리처드 헤이든', '페기 우드']"
헬프,https://movie-phinf.pstatic.net/20111223_214/1324649693153G81OH_JPEG/movie_image.jpg?type=m203_290_2,9.39,['드라마'],"['영화', '헬프', '감독', '가정부', '원작', '미시시피', '테이', '테일러', '남부', '캐릭터', '캐서린', '그녀', '스토킷', '할리우드', '잭슨']",테이트 테일러,"['엠마 스톤', '비올라 데이비스', '옥타비아 스펜서', '브라이스 달라스 하워드', '제시카 차스테인']"
글래디에이터,https://movie-phinf.pstatic.net/20130419_151/1366338731242XqgJS_JPEG/movie_image.jpg?type=m203_290_2,9.38,"['액션', '드라마']","['황제', '막시무스', '코모', '아들', '로마', '죽', '대한', '복수', '아우렐리우스', '사랑', '서기', '루실', '날', '아내', '살해']",리들리 스콧,"['러셀 크로우', '호아킨 피닉스', '코니 닐슨', '올리버 리드', '리처드 해리스']"
살인의 추억,https://movie-phinf.pstatic.net/20111222_166/1324548172003mpyIa_JPEG/movie_image.jpg?type=m203_290_2,9.38,"['범죄', '미스터리', '스릴러', '코미디', '드라마']","['사건', '형사', '반장', '서태윤', '현장', '용의자', '범인', '시작', '여인', '옷', '검토', '박두', '발생', '범행', '강간']",봉준호,"['송강호', '김상경', '김뢰하', '송재호', '변희봉']"
